LR [03:59:25] perf: step 21500/30000 (71.7%), 0.49 s/step avg, last window 0.60 s/step, 8387 tokens/s, ETA 1.2 h, train CE 5.882, val CE 5.508, code temperature 0.283
LR [04:04:25] perf: step 22250/30000 (74.2%), 0.49 s/step avg, last window 0.40 s/step, 8438 tokens/s, ETA 1.0 h, train CE 5.494, val CE 5.530, code temperature 0.258
LR [04:09:25] perf: step 22750/30000 (75.8%), 0.49 s/step avg, last window 0.60 s/step, 8395 tokens/s, ETA 1.0 h, train CE 5.358, val CE 5.542, code temperature 0.242
LR [04:14:25] perf: step 23500/30000 (78.3%), 0.49 s/step avg, last window 0.40 s/step, 8443 tokens/s, ETA 0.9 h, train CE 5.647, val CE 5.542, code temperature 0.217
LR [04:19:25] perf: step 24000/30000 (80.0%), 0.49 s/step avg, last window 0.60 s/step, 8402 tokens/s, ETA 0.8 h, train CE 5.267, val CE 5.546, code temperature 0.200
LR [04:24:25] perf: step 24750/30000 (82.5%), 0.48 s/step avg, last window 0.40 s/step, 8448 tokens/s, ETA 0.7 h, train CE 5.576, val CE 5.516, code temperature 0.200
LR [04:29:25] perf: step 25250/30000 (84.2%), 0.49 s/step avg, last window 0.60 s/step, 8408 tokens/s, ETA 0.6 h, train CE 5.534, val CE 5.543, code temperature 0.200
LR [04:34:25] perf: step 26000/30000 (86.7%), 0.48 s/step avg, last window 0.40 s/step, 8452 tokens/s, ETA 0.5 h, train CE 5.400, val CE 5.534, code temperature 0.200
LR [04:39:25] perf: step 26500/30000 (88.3%), 0.49 s/step avg, last window 0.60 s/step, 8414 tokens/s, ETA 0.5 h, train CE 5.356, val CE 5.504, code temperature 0.200
LR [04:44:25] perf: step 27250/30000 (90.8%), 0.48 s/step avg, last window 0.40 s/step, 8456 tokens/s, ETA 0.4 h, train CE 5.817, val CE 5.557, code temperature 0.200
LR [04:49:25] perf: step 27750/30000 (92.5%), 0.49 s/step avg, last window 0.60 s/step, 8419 tokens/s, ETA 0.3 h, train CE 5.963, val CE 5.541, code temperature 0.200
LR [04:54:25] perf: step 28500/30000 (95.0%), 0.48 s/step avg, last window 0.40 s/step, 8459 tokens/s, ETA 0.2 h, train CE 5.576, val CE 5.509, code temperature 0.200
LR [04:59:25] perf: step 29000/30000 (96.7%), 0.49 s/step avg, last window 0.60 s/step, 8424 tokens/s, ETA 0.1 h, train CE 5.507, val CE 5.495, code temperature 0.200
LR [05:04:25] perf: step 29750/30000 (99.2%), 0.48 s/step avg, last window 0.40 s/step, 8462 tokens/s, ETA 0.0 h, train CE 5.216, val CE 5.485, code temperature 0.200
